source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CTAS Assets (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS AssetsCurrent (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS LiabilitiesCurrent (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS StockholdersEquity (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2014-07-30,2014-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS CashAndCashEquivalentsAtCarryingValue (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS LongTermDebt (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS LongTermDebtNoncurrent (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS LongTermDebtCurrent (10-K),2025-07-28,2025-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
SEC EDGAR companyfacts API,CTAS DebtCurrent (10-Q),2018-04-06,2018-02-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CTAS_facts_selected.json
