source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,PCAR Assets (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR StockholdersEquity (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR CashAndCashEquivalentsAtCarryingValue (10-K),2019-02-21,2018-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR Revenues (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR NetIncomeLoss (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR InterestExpenseDebt (10-K),2012-02-29,2011-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR IncomeTaxExpenseBenefit (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR EarningsPerShareBasic (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR EarningsPerShareDiluted (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR DepreciationDepletionAndAmortization (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR CommonStockSharesIssued (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR ResearchAndDevelopmentExpense (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR ContractWithCustomerLiability (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
SEC EDGAR companyfacts API,PCAR InventoryNet (10-Q),2022-10-28,2021-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PCAR_facts_selected.json
