source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ARM Assets (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM AssetsCurrent (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM Liabilities (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM LiabilitiesCurrent (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM StockholdersEquity (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM CashAndCashEquivalentsAtCarryingValue (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM RevenueFromContractWithCustomerExcludingAssessedTax (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM NetIncomeLoss (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM OperatingIncomeLoss (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM GrossProfit (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM IncomeTaxExpenseBenefit (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM EarningsPerShareBasic (20-F),2026-05-26,2026-03-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM EarningsPerShareDiluted (20-F),2026-05-26,2026-03-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM NetCashProvidedByUsedInOperatingActivities (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM NetCashProvidedByUsedInInvestingActivities (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM NetCashProvidedByUsedInFinancingActivities (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM DepreciationDepletionAndAmortization (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM PaymentsToAcquirePropertyPlantAndEquipment (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM CommonStockSharesOutstanding (20-F),2026-05-26,2026-03-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM CommonStockSharesIssued (20-F),2026-05-26,2026-03-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM WeightedAverageNumberOfSharesOutstandingBasic (20-F),2026-05-26,2026-03-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM ResearchAndDevelopmentExpense (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM ShareBasedCompensation (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM CostOfRevenue (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM ContractWithCustomerLiabilityCurrent (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM ContractWithCustomerLiability (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM RevenueRemainingPerformanceObligation (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
SEC EDGAR companyfacts API,ARM AccountsReceivableNetCurrent (20-F),2026-05-26,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ARM_facts_selected.json
