source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CMCSA Assets (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA AssetsCurrent (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA LiabilitiesCurrent (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA StockholdersEquity (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA DebtCurrent (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA CommercialPaper (10-K),2017-02-03,2016-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
SEC EDGAR companyfacts API,CMCSA Revenues (10-K),2024-01-31,2023-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CMCSA_facts_selected.json
