source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,AMD Assets (10-K),2026-02-04,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD AssetsCurrent (10-K),2026-02-04,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD LiabilitiesCurrent (10-K),2026-02-04,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD StockholdersEquity (10-K),2026-02-04,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-04,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-04,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD LongTermDebt (10-K),2022-02-03,2021-12-25,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD LongTermDebtNoncurrent (10-K),2026-02-04,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD LongTermDebtCurrent (10-K),2026-02-04,2025-12-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
SEC EDGAR companyfacts API,AMD DebtCurrent (10-K),2020-02-04,2019-12-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMD_facts_selected.json
