source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,INTC Assets (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC AssetsCurrent (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC LiabilitiesCurrent (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC StockholdersEquity (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC CashAndCashEquivalentsAtCarryingValue (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC LongTermDebt (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC LongTermDebtNoncurrent (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC LongTermDebtCurrent (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC DebtCurrent (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC ShortTermBorrowings (10-Q),2017-10-26,2017-09-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC CommercialPaper (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC NetIncomeLoss (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC OperatingIncomeLoss (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC GrossProfit (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC InterestExpense (10-K),2024-01-26,2023-12-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC IncomeTaxExpenseBenefit (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC EarningsPerShareBasic (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC EarningsPerShareDiluted (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC NetCashProvidedByUsedInOperatingActivities (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC NetCashProvidedByUsedInInvestingActivities (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC NetCashProvidedByUsedInFinancingActivities (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC CommonStockSharesOutstanding (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC CommonStockSharesIssued (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC ResearchAndDevelopmentExpense (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC ShareBasedCompensation (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC ContractWithCustomerLiabilityCurrent (10-K),2019-02-01,2018-12-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC ContractWithCustomerLiability (10-K),2022-01-27,2021-12-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC RevenueRemainingPerformanceObligation (10-K),2020-01-24,2019-12-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC InventoryNet (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
SEC EDGAR companyfacts API,INTC AccountsReceivableNetCurrent (10-K),2026-01-23,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTC_facts_selected.json
