source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,META Assets (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META AssetsCurrent (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META Liabilities (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META LiabilitiesCurrent (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META StockholdersEquity (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META CashAndCashEquivalentsAtCarryingValue (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META LongTermDebt (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META LongTermDebtNoncurrent (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META Revenues (10-K),2018-02-01,2017-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META NetIncomeLoss (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META OperatingIncomeLoss (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META InterestExpense (10-K),2024-02-02,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META InterestExpenseDebt (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META IncomeTaxExpenseBenefit (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META EarningsPerShareBasic (10-K),2026-01-29,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META EarningsPerShareDiluted (10-K),2026-01-29,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META NetCashProvidedByUsedInOperatingActivities (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META NetCashProvidedByUsedInInvestingActivities (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META NetCashProvidedByUsedInFinancingActivities (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META DepreciationDepletionAndAmortization (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-01-29,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META ResearchAndDevelopmentExpense (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META SellingAndMarketingExpense (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META GeneralAndAdministrativeExpense (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META ShareBasedCompensation (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META CostOfRevenue (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META ContractWithCustomerLiabilityCurrent (10-K),2025-01-30,2024-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META ContractWithCustomerLiability (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
SEC EDGAR companyfacts API,META AccountsReceivableNetCurrent (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/META_facts_selected.json
