source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Advertising),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Aerospace/Defense),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Air Transport),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Apparel),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Auto & Truck),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Auto Parts),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Bank (Money Center)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Banks (Regional)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Beverage (Alcoholic)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Beverage (Soft)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Broadcasting),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Brokerage & Investment Banking),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Building Materials),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Business & Consumer Services),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Cable TV),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Chemical (Basic)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Chemical (Diversified)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Chemical (Specialty)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Coal & Related Energy),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Computer Services),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Computers/Peripherals),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Construction Supplies),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Diversified),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Drugs (Biotechnology)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Drugs (Pharmaceutical)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Education),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Electrical Equipment),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Electronics (Consumer & Office)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Electronics (General)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Engineering/Construction),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Entertainment),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Environmental & Waste Services),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Farming/Agriculture),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Financial Svcs. (Non-bank & Insurance)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Food Processing),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Food Wholesalers),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Furn/Home Furnishings),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Green & Renewable Energy),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Healthcare Products),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Healthcare Support Services),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Heathcare Information and Technology),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Homebuilding),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",PE ratios (current/trailing/forward) by industry (Hospitals/Healthcare Facilities),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_pedata.json
