source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ALNY Assets (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY AssetsCurrent (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY Liabilities (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY LiabilitiesCurrent (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY StockholdersEquity (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2011-02-18,2010-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY LongTermDebt (10-Q),2022-07-28,2022-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY Revenues (10-K),2023-02-23,2022-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY NetIncomeLoss (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY OperatingIncomeLoss (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY InterestExpense (10-K),2024-02-15,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY IncomeTaxExpenseBenefit (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY EarningsPerShareBasic (10-K),2026-02-12,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
SEC EDGAR companyfacts API,ALNY EarningsPerShareDiluted (10-K),2026-02-12,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALNY_facts_selected.json
