source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,SNPS Assets (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS AssetsCurrent (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS Liabilities (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS LiabilitiesCurrent (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS StockholdersEquity (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS CashAndCashEquivalentsAtCarryingValue (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS LongTermDebt (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS LongTermDebtNoncurrent (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS LongTermDebtCurrent (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS DebtCurrent (10-K),2022-12-12,2022-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS ShortTermBorrowings (10-Q),2022-08-19,2022-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS Revenues (10-K),2022-12-12,2022-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS NetIncomeLoss (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS OperatingIncomeLoss (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS GrossProfit (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS InterestExpense (10-K),2023-12-12,2023-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS IncomeTaxExpenseBenefit (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS EarningsPerShareBasic (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS EarningsPerShareDiluted (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS NetCashProvidedByUsedInOperatingActivities (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS NetCashProvidedByUsedInInvestingActivities (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS NetCashProvidedByUsedInFinancingActivities (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
SEC EDGAR companyfacts API,SNPS DepreciationDepletionAndAmortization (10-K),2025-12-22,2025-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNPS_facts_selected.json
