source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,HONA Assets (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA AssetsCurrent (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA Liabilities (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA LiabilitiesCurrent (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA StockholdersEquity (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA CashAndCashEquivalentsAtCarryingValue (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA LongTermDebt (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA LongTermDebtNoncurrent (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA LongTermDebtCurrent (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA RevenueFromContractWithCustomerExcludingAssessedTax (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA NetIncomeLoss (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA OperatingIncomeLoss (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA IncomeTaxExpenseBenefit (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA NetCashProvidedByUsedInOperatingActivities (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA NetCashProvidedByUsedInInvestingActivities (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA NetCashProvidedByUsedInFinancingActivities (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA DepreciationDepletionAndAmortization (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA PaymentsToAcquirePropertyPlantAndEquipment (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA ResearchAndDevelopmentExpense (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA ShareBasedCompensation (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA ContractWithCustomerLiabilityCurrent (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA ContractWithCustomerLiability (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA RevenueRemainingPerformanceObligation (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA InventoryNet (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
SEC EDGAR companyfacts API,HONA AccountsReceivableNetCurrent (10-Q),2026-08-05,2026-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/HONA_facts_selected.json
