source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,TTWO Assets (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO AssetsCurrent (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO Liabilities (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO LiabilitiesCurrent (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO StockholdersEquity (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO CashAndCashEquivalentsAtCarryingValue (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO LongTermDebt (10-K),2023-05-26,2023-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
SEC EDGAR companyfacts API,TTWO LongTermDebtNoncurrent (10-K),2026-05-22,2026-03-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TTWO_facts_selected.json
