source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,WDAY Assets (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY AssetsCurrent (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY Liabilities (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY LiabilitiesCurrent (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY StockholdersEquity (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY CashAndCashEquivalentsAtCarryingValue (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY LongTermDebt (10-K),2024-03-08,2024-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY LongTermDebtNoncurrent (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY LongTermDebtCurrent (10-K),2023-02-27,2023-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY Revenues (10-K),2018-03-14,2018-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY NetIncomeLoss (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY OperatingIncomeLoss (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY InterestExpense (10-K),2024-03-08,2024-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY InterestExpenseDebt (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY IncomeTaxExpenseBenefit (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY EarningsPerShareBasic (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY EarningsPerShareDiluted (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
SEC EDGAR companyfacts API,WDAY NetCashProvidedByUsedInOperatingActivities (10-K),2026-03-06,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDAY_facts_selected.json
