source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CPRT Assets (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT AssetsCurrent (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT Liabilities (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT LiabilitiesCurrent (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT StockholdersEquity (10-K),2023-09-28,2023-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT CashAndCashEquivalentsAtCarryingValue (10-K),2019-09-30,2019-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT LongTermDebt (10-K),2023-09-28,2023-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT LongTermDebtNoncurrent (10-Q),2023-05-25,2023-04-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT ShortTermBorrowings (10-Q),2011-12-12,2011-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT Revenues (10-K),2020-09-28,2020-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT NetIncomeLoss (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT OperatingIncomeLoss (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT GrossProfit (10-K),2020-09-28,2020-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT InterestExpense (10-K),2020-09-28,2020-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT InterestExpenseDebt (10-K),2013-09-30,2013-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT IncomeTaxExpenseBenefit (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT EarningsPerShareBasic (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT EarningsPerShareDiluted (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT NetCashProvidedByUsedInOperatingActivities (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT NetCashProvidedByUsedInInvestingActivities (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT NetCashProvidedByUsedInFinancingActivities (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT DepreciationDepletionAndAmortization (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT PaymentsToAcquirePropertyPlantAndEquipment (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT CommonStockSharesOutstanding (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT CommonStockSharesIssued (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT WeightedAverageNumberOfSharesOutstandingBasic (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT GeneralAndAdministrativeExpense (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT ShareBasedCompensation (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT ContractWithCustomerLiabilityCurrent (10-K),2025-09-26,2025-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
SEC EDGAR companyfacts API,CPRT ContractWithCustomerLiability (10-K),2020-09-28,2020-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CPRT_facts_selected.json
