source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,SPCX Assets (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX AssetsCurrent (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX Liabilities (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX LiabilitiesCurrent (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX StockholdersEquity (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX CashAndCashEquivalentsAtCarryingValue (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX LongTermDebt (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX RevenueFromContractWithCustomerExcludingAssessedTax (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX NetIncomeLoss (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX OperatingIncomeLoss (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX IncomeTaxExpenseBenefit (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX EarningsPerShareBasic (10-Q),2026-08-04,2026-06-30,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX EarningsPerShareDiluted (10-Q),2026-08-04,2026-06-30,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX NetCashProvidedByUsedInOperatingActivities (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX NetCashProvidedByUsedInInvestingActivities (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX NetCashProvidedByUsedInFinancingActivities (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX DepreciationDepletionAndAmortization (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX PaymentsToAcquirePropertyPlantAndEquipment (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX WeightedAverageNumberOfSharesOutstandingBasic (10-Q),2026-08-04,2026-06-30,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX ResearchAndDevelopmentExpense (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX ShareBasedCompensation (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX CostOfRevenue (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX ContractWithCustomerLiabilityCurrent (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX ContractWithCustomerLiability (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX RevenueRemainingPerformanceObligation (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
SEC EDGAR companyfacts API,SPCX InventoryNet (10-Q),2026-08-04,2026-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SPCX_facts_selected.json
