source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,AXON Assets (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON AssetsCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON Liabilities (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON LiabilitiesCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON StockholdersEquity (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON LongTermDebt (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON LongTermDebtNoncurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON LongTermDebtCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON NetIncomeLoss (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON OperatingIncomeLoss (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON GrossProfit (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON IncomeTaxExpenseBenefit (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON EarningsPerShareBasic (10-K),2026-02-25,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON EarningsPerShareDiluted (10-K),2026-02-25,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON DepreciationDepletionAndAmortization (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON CommonStockSharesOutstanding (10-K),2026-02-25,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON CommonStockSharesIssued (10-K),2026-02-25,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-25,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON ResearchAndDevelopmentExpense (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON ShareBasedCompensation (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON ContractWithCustomerLiabilityCurrent (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON ContractWithCustomerLiability (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON RevenueRemainingPerformanceObligation (10-Q),2024-11-08,2024-09-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON InventoryNet (10-K),2026-02-25,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
SEC EDGAR companyfacts API,AXON AccountsReceivableNetCurrent (10-K),2013-03-08,2012-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AXON_facts_selected.json
