source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,MDLZ Assets (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ AssetsCurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ Liabilities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ LiabilitiesCurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ StockholdersEquity (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ CashAndCashEquivalentsAtCarryingValue (10-K),2013-02-25,2012-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ LongTermDebt (10-K),2020-02-07,2019-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ LongTermDebtNoncurrent (10-K),2012-02-27,2011-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ LongTermDebtCurrent (10-K),2012-02-27,2011-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ DebtCurrent (10-Q),2010-11-05,2010-09-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ ShortTermBorrowings (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ Revenues (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ NetIncomeLoss (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ OperatingIncomeLoss (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ GrossProfit (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ InterestExpenseDebt (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ IncomeTaxExpenseBenefit (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ EarningsPerShareBasic (10-K),2026-02-04,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ EarningsPerShareDiluted (10-K),2026-02-04,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ CommonStockSharesOutstanding (10-Q/A),2010-08-19,2010-06-30,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ CommonStockSharesIssued (10-K),2026-02-04,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-04,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ ResearchAndDevelopmentExpense (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ ShareBasedCompensation (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ InventoryNet (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
SEC EDGAR companyfacts API,MDLZ AccountsReceivableNetCurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MDLZ_facts_selected.json
