source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ADSK Assets (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK AssetsCurrent (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK LiabilitiesCurrent (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK StockholdersEquity (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK CashAndCashEquivalentsAtCarryingValue (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK LongTermDebt (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK NetIncomeLoss (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK OperatingIncomeLoss (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK GrossProfit (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK InterestExpense (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK IncomeTaxExpenseBenefit (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK EarningsPerShareBasic (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK EarningsPerShareDiluted (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK NetCashProvidedByUsedInOperatingActivities (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK NetCashProvidedByUsedInInvestingActivities (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK NetCashProvidedByUsedInFinancingActivities (10-K),2026-03-03,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
SEC EDGAR companyfacts API,ADSK DepreciationDepletionAndAmortization (10-K),2016-03-23,2016-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADSK_facts_selected.json
