source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,AMZN Assets (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN AssetsCurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN LiabilitiesCurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN StockholdersEquity (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN LongTermDebt (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN LongTermDebtNoncurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN LongTermDebtCurrent (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN ShortTermBorrowings (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN NetIncomeLoss (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN OperatingIncomeLoss (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN GrossProfit (10-K),2010-01-29,2009-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN InterestExpense (10-K),2024-02-02,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN IncomeTaxExpenseBenefit (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN EarningsPerShareBasic (10-K),2026-02-06,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN EarningsPerShareDiluted (10-K),2026-02-06,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN DepreciationDepletionAndAmortization (10-K),2026-02-06,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN PaymentsToAcquirePropertyPlantAndEquipment (10-K),2017-02-10,2016-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
SEC EDGAR companyfacts API,AMZN CommonStockSharesOutstanding (10-K),2026-02-06,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AMZN_facts_selected.json
