source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,IDXX Assets (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX AssetsCurrent (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX Liabilities (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX LiabilitiesCurrent (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX StockholdersEquity (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2024-02-22,2023-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX LongTermDebt (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX LongTermDebtNoncurrent (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
SEC EDGAR companyfacts API,IDXX LongTermDebtCurrent (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/IDXX_facts_selected.json
