source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,SBUX Assets (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX AssetsCurrent (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX Liabilities (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX LiabilitiesCurrent (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX StockholdersEquity (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX CashAndCashEquivalentsAtCarryingValue (10-K),2021-11-19,2021-10-03,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX LongTermDebt (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
SEC EDGAR companyfacts API,SBUX LongTermDebtNoncurrent (10-K),2025-11-14,2025-09-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SBUX_facts_selected.json
