source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,NBIS Assets (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS AssetsCurrent (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS Liabilities (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS LiabilitiesCurrent (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS StockholdersEquity (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS CashAndCashEquivalentsAtCarryingValue (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS LongTermDebt (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
SEC EDGAR companyfacts API,NBIS LongTermDebtNoncurrent (20-F),2026-04-30,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NBIS_facts_selected.json
