source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,KDP Assets (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP AssetsCurrent (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP Liabilities (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP LiabilitiesCurrent (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP StockholdersEquity (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP LongTermDebt (10-K),2023-02-23,2022-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP LongTermDebtNoncurrent (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
SEC EDGAR companyfacts API,KDP LongTermDebtCurrent (10-K),2026-02-24,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KDP_facts_selected.json
