source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,SNDK Assets (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK AssetsCurrent (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK Liabilities (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK LiabilitiesCurrent (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK StockholdersEquity (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK CashAndCashEquivalentsAtCarryingValue (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK LongTermDebt (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK LongTermDebtNoncurrent (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK LongTermDebtCurrent (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK NetIncomeLoss (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK OperatingIncomeLoss (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK GrossProfit (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK IncomeTaxExpenseBenefit (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK EarningsPerShareBasic (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK EarningsPerShareDiluted (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK NetCashProvidedByUsedInOperatingActivities (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK NetCashProvidedByUsedInInvestingActivities (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK NetCashProvidedByUsedInFinancingActivities (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK PaymentsToAcquirePropertyPlantAndEquipment (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK CommonStockSharesOutstanding (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK CommonStockSharesIssued (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
SEC EDGAR companyfacts API,SNDK WeightedAverageNumberOfSharesOutstandingBasic (10-K),2025-08-21,2025-06-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/SNDK_facts_selected.json
