source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ASML Assets (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML AssetsCurrent (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML Liabilities (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML LiabilitiesCurrent (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML StockholdersEquity (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML CashAndCashEquivalentsAtCarryingValue (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML LongTermDebt (20-F),2019-02-06,2018-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML LongTermDebtNoncurrent (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML LongTermDebtCurrent (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML RevenueFromContractWithCustomerExcludingAssessedTax (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML NetIncomeLoss (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML OperatingIncomeLoss (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML GrossProfit (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML InterestExpense (20-F),2024-02-14,2023-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML IncomeTaxExpenseBenefit (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML EarningsPerShareBasic (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML EarningsPerShareDiluted (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML NetCashProvidedByUsedInOperatingActivities (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML NetCashProvidedByUsedInInvestingActivities (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML NetCashProvidedByUsedInFinancingActivities (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML DepreciationDepletionAndAmortization (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML PaymentsToAcquirePropertyPlantAndEquipment (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML CommonStockSharesOutstanding (20-F),2026-02-25,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
SEC EDGAR companyfacts API,ASML CommonStockSharesIssued (20-F),2012-02-14,2011-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ASML_facts_selected.json
