source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ABNB Assets (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB AssetsCurrent (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB Liabilities (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB LiabilitiesCurrent (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB StockholdersEquity (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB LongTermDebt (10-K),2022-02-25,2021-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB LongTermDebtNoncurrent (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB LongTermDebtCurrent (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB NetIncomeLoss (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB OperatingIncomeLoss (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB IncomeTaxExpenseBenefit (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB DepreciationDepletionAndAmortization (10-K),2023-02-17,2022-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB PaymentsToAcquirePropertyPlantAndEquipment (10-K),2023-02-17,2022-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB ResearchAndDevelopmentExpense (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB SellingAndMarketingExpense (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB GeneralAndAdministrativeExpense (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB ShareBasedCompensation (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
SEC EDGAR companyfacts API,ABNB CostOfRevenue (10-K),2026-02-12,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ABNB_facts_selected.json
