source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,MPWR Assets (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR AssetsCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR Liabilities (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR LiabilitiesCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR StockholdersEquity (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2012-03-12,2011-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR Revenues (10-K),2016-02-29,2015-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
SEC EDGAR companyfacts API,MPWR RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MPWR_facts_selected.json
