source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Abu Dhabi),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Albania),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Andorra (Principality of)),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Angola),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Argentina),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Armenia),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Aruba),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Australia),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Austria),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)",Country equity risk premiums (Azerbaijan),,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_ctryprem.json
