source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,REGN Assets (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN AssetsCurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN Liabilities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN LiabilitiesCurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN StockholdersEquity (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN LongTermDebtNoncurrent (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN ShortTermBorrowings (10-Q),2020-08-05,2020-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN Revenues (10-K),2018-02-08,2017-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN NetIncomeLoss (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN OperatingIncomeLoss (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN InterestExpense (10-K),2024-02-05,2023-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN IncomeTaxExpenseBenefit (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN EarningsPerShareBasic (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN EarningsPerShareDiluted (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN DepreciationDepletionAndAmortization (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN CommonStockSharesOutstanding (10-K),2012-02-21,2011-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN CommonStockSharesIssued (10-K),2012-02-21,2011-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
SEC EDGAR companyfacts API,REGN WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-04,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/REGN_facts_selected.json
