source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,PLTR Assets (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR AssetsCurrent (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR Liabilities (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR LiabilitiesCurrent (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR StockholdersEquity (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR LongTermDebtNoncurrent (10-K),2022-02-24,2021-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
SEC EDGAR companyfacts API,PLTR RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-17,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PLTR_facts_selected.json
