source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ALAB Assets (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB AssetsCurrent (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB Liabilities (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB LiabilitiesCurrent (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB StockholdersEquity (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB NetIncomeLoss (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB OperatingIncomeLoss (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB GrossProfit (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB IncomeTaxExpenseBenefit (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB EarningsPerShareBasic (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB EarningsPerShareDiluted (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB DepreciationDepletionAndAmortization (10-Q),2026-08-05,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB CommonStockSharesOutstanding (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB CommonStockSharesIssued (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB ResearchAndDevelopmentExpense (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB SellingAndMarketingExpense (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB GeneralAndAdministrativeExpense (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB ShareBasedCompensation (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
SEC EDGAR companyfacts API,ALAB ContractWithCustomerLiabilityCurrent (10-K),2026-02-20,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ALAB_facts_selected.json
