source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,DDOG Assets (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG AssetsCurrent (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG Liabilities (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG LiabilitiesCurrent (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG StockholdersEquity (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG CashAndCashEquivalentsAtCarryingValue (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG RevenueFromContractWithCustomerExcludingAssessedTax (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG NetIncomeLoss (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG OperatingIncomeLoss (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG GrossProfit (10-Q),2026-08-06,2026-06-30,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
SEC EDGAR companyfacts API,DDOG InterestExpense (10-Q),2024-05-08,2024-03-31,2026-08-07,USD,latest fact by end date in the filer's reported unit,"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DDOG_facts_selected.json
