source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CSCO Assets (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO AssetsCurrent (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO Liabilities (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO LiabilitiesCurrent (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO StockholdersEquity (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2019-09-05,2019-07-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO CashAndCashEquivalentsAtCarryingValue (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO LongTermDebt (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
SEC EDGAR companyfacts API,CSCO LongTermDebtNoncurrent (10-K),2025-09-03,2025-07-26,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CSCO_facts_selected.json
