source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ORLY Assets (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY AssetsCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY LiabilitiesCurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY StockholdersEquity (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY LongTermDebt (10-K),2017-02-28,2016-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY LongTermDebtNoncurrent (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY LongTermDebtCurrent (10-K),2015-02-27,2014-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY NetIncomeLoss (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY OperatingIncomeLoss (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY GrossProfit (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY InterestExpenseDebt (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
SEC EDGAR companyfacts API,ORLY IncomeTaxExpenseBenefit (10-K),2026-02-27,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ORLY_facts_selected.json
