source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,DASH Assets (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH AssetsCurrent (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH Liabilities (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH LiabilitiesCurrent (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH StockholdersEquity (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH NetIncomeLoss (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH OperatingIncomeLoss (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH InterestExpense (10-K),2023-02-27,2022-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH IncomeTaxExpenseBenefit (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH EarningsPerShareBasic (10-K),2026-02-18,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH EarningsPerShareDiluted (10-K),2026-02-18,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH DepreciationDepletionAndAmortization (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-18,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH ResearchAndDevelopmentExpense (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH SellingAndMarketingExpense (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH GeneralAndAdministrativeExpense (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH ShareBasedCompensation (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH ContractWithCustomerLiabilityCurrent (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH ContractWithCustomerLiability (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
SEC EDGAR companyfacts API,DASH AccountsReceivableNetCurrent (10-K),2026-02-18,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/DASH_facts_selected.json
