source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,QCOM Assets (10-K),2025-11-05,2025-09-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM AssetsCurrent (10-K),2025-11-05,2025-09-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM Liabilities (10-K),2025-11-05,2025-09-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM LiabilitiesCurrent (10-K),2025-11-05,2025-09-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM StockholdersEquity (10-K),2019-11-06,2019-09-29,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2025-11-05,2025-09-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM CashAndCashEquivalentsAtCarryingValue (10-K),2025-11-05,2025-09-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2024-11-06,2024-09-29,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM LongTermDebt (10-K),2025-11-05,2025-09-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
SEC EDGAR companyfacts API,QCOM LongTermDebtNoncurrent (10-K),2025-11-05,2025-09-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/QCOM_facts_selected.json
