source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,BKR Assets (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR AssetsCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR Liabilities (10-Q),2017-07-28,2017-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR LiabilitiesCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR StockholdersEquity (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR CashAndCashEquivalentsAtCarryingValue (10-K),2018-02-23,2017-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR LongTermDebt (10-Q),2017-10-31,2017-09-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
SEC EDGAR companyfacts API,BKR DebtCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/BKR_facts_selected.json
