source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,MRVL Assets (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL AssetsCurrent (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL Liabilities (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL LiabilitiesCurrent (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL StockholdersEquity (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL CashAndCashEquivalentsAtCarryingValue (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL LongTermDebt (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL LongTermDebtNoncurrent (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL LongTermDebtCurrent (10-K),2023-03-09,2023-01-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL ShortTermBorrowings (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
SEC EDGAR companyfacts API,MRVL NetIncomeLoss (10-K),2026-03-11,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MRVL_facts_selected.json
