source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ISRG Assets (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG AssetsCurrent (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG Liabilities (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG LiabilitiesCurrent (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG StockholdersEquity (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
SEC EDGAR companyfacts API,ISRG NetIncomeLoss (10-K),2026-02-03,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ISRG_facts_selected.json
