source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,TSLA Assets (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA AssetsCurrent (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA Liabilities (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA LiabilitiesCurrent (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA StockholdersEquity (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA CashAndCashEquivalentsAtCarryingValue (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-Q),2018-11-02,2018-09-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA LongTermDebt (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA LongTermDebtNoncurrent (10-K),2014-02-26,2013-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA LongTermDebtCurrent (10-K),2014-02-26,2012-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA DebtCurrent (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA Revenues (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA NetIncomeLoss (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA OperatingIncomeLoss (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA GrossProfit (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA InterestExpense (10-K),2024-01-29,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA InterestExpenseDebt (10-K),2022-02-07,2021-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
SEC EDGAR companyfacts API,TSLA IncomeTaxExpenseBenefit (10-K),2026-01-29,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TSLA_facts_selected.json
