source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,VRTX Assets (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX AssetsCurrent (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX Liabilities (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX LiabilitiesCurrent (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX StockholdersEquity (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2022-02-09,2021-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX LongTermDebt (10-Q),2011-11-03,2011-09-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX Revenues (10-K),2018-02-15,2017-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX NetIncomeLoss (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX OperatingIncomeLoss (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX InterestExpense (10-K),2021-02-11,2020-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX InterestExpenseDebt (10-K),2013-03-01,2012-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX IncomeTaxExpenseBenefit (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX EarningsPerShareBasic (10-K),2026-02-13,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX EarningsPerShareDiluted (10-K),2026-02-13,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX DepreciationDepletionAndAmortization (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX CommonStockSharesOutstanding (10-K),2026-02-13,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX CommonStockSharesIssued (10-K),2026-02-13,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-13,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX ResearchAndDevelopmentExpense (10-K),2022-02-09,2021-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX ShareBasedCompensation (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX ContractWithCustomerLiability (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX InventoryNet (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
SEC EDGAR companyfacts API,VRTX AccountsReceivableNetCurrent (10-K),2026-02-13,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/VRTX_facts_selected.json
