source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,EA Assets (10-K),2026-05-11,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA AssetsCurrent (10-K),2026-05-11,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA Liabilities (10-K),2026-05-11,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA LiabilitiesCurrent (10-K),2026-05-11,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA StockholdersEquity (10-K),2026-05-11,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA CashAndCashEquivalentsAtCarryingValue (10-K),2022-05-25,2022-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-05-11,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA Revenues (10-K),2026-05-11,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA RevenueFromContractWithCustomerExcludingAssessedTax (10-Q),2026-08-03,2026-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
SEC EDGAR companyfacts API,EA NetIncomeLoss (10-K),2026-05-11,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/EA_facts_selected.json
