source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,NVDA Assets (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA AssetsCurrent (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA Liabilities (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA LiabilitiesCurrent (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA StockholdersEquity (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA LongTermDebt (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA LongTermDebtNoncurrent (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA LongTermDebtCurrent (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA DebtCurrent (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA CommercialPaper (10-K),2025-02-26,2025-01-26,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA Revenues (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2022-03-18,2022-01-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA NetIncomeLoss (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA OperatingIncomeLoss (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA GrossProfit (10-K),2026-02-25,2026-01-25,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
SEC EDGAR companyfacts API,NVDA InterestExpense (10-K),2024-02-21,2024-01-28,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NVDA_facts_selected.json
