source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,GOOGL Assets (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL AssetsCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL Liabilities (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL LiabilitiesCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL StockholdersEquity (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL LongTermDebt (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL LongTermDebtNoncurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
SEC EDGAR companyfacts API,GOOGL LongTermDebtCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/GOOGL_facts_selected.json
