source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ADBE Assets (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE AssetsCurrent (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE Liabilities (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE LiabilitiesCurrent (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE StockholdersEquity (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE CashAndCashEquivalentsAtCarryingValue (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE LongTermDebt (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE LongTermDebtNoncurrent (10-K),2010-01-22,2009-11-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
SEC EDGAR companyfacts API,ADBE LongTermDebtCurrent (10-K),2026-01-15,2025-11-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ADBE_facts_selected.json
