source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,TMUS Assets (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS AssetsCurrent (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS Liabilities (10-K),2013-03-01,2012-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS LiabilitiesCurrent (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS StockholdersEquity (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS LongTermDebt (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS LongTermDebtNoncurrent (10-K),2026-02-11,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
SEC EDGAR companyfacts API,TMUS LongTermDebtCurrent (10-K),2023-02-14,2022-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/TMUS_facts_selected.json
