source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Advertising)",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Aerospace/Defense)",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Air Transport)",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Apparel)",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Auto & Truck)",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Auto Parts)",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Bank (Money Center))",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Banks (Regional))",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Beverage (Alcoholic))",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
"Aswath Damodaran, NYU Stern (pages.stern.nyu.edu/~adamodar)","Cost of capital by industry (beta, cost of equity/debt, D/E, WACC) (Beverage (Soft))",,2026-08-17,2026-08-17,ratio/percent per Damodaran's own convention for this dataset,"as-published, no re-derivation","Assumptions / cost of capital (IB, Corporate Finance, PE, Merchant Banking, AM)",Publicly posted academic dataset; attribute to Aswath Damodaran / NYU Stern,tools/data_fabric/out/damodaran_wacc.json
