source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,PEP Assets (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP AssetsCurrent (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP Liabilities (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP LiabilitiesCurrent (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP StockholdersEquity (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP LongTermDebt (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
SEC EDGAR companyfacts API,PEP LongTermDebtNoncurrent (10-K),2026-02-03,2025-12-27,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PEP_facts_selected.json
