source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,LITE Assets (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE AssetsCurrent (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE Liabilities (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE LiabilitiesCurrent (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE StockholdersEquity (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2015-09-25,2015-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE CashAndCashEquivalentsAtCarryingValue (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE LongTermDebt (10-K),2022-08-24,2022-07-02,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE LongTermDebtNoncurrent (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE LongTermDebtCurrent (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE ShortTermBorrowings (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE Revenues (10-K),2019-08-27,2019-06-29,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE NetIncomeLoss (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE OperatingIncomeLoss (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
SEC EDGAR companyfacts API,LITE GrossProfit (10-K),2025-08-19,2025-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/LITE_facts_selected.json
