source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,AVGO Assets (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO AssetsCurrent (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO Liabilities (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO LiabilitiesCurrent (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO StockholdersEquity (10-K),2019-12-20,2019-11-03,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO CashAndCashEquivalentsAtCarryingValue (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO LongTermDebt (10-K),2021-12-17,2021-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO LongTermDebtNoncurrent (10-K),2021-12-17,2021-10-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO LongTermDebtCurrent (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO DebtCurrent (10-Q),2026-06-09,2026-05-03,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO CommercialPaper (10-Q),2025-09-10,2025-08-03,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO Revenues (10-K),2018-12-21,2018-11-04,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO NetIncomeLoss (10-K),2024-12-20,2024-11-03,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO OperatingIncomeLoss (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO GrossProfit (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO InterestExpense (10-K),2024-12-20,2024-11-03,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO IncomeTaxExpenseBenefit (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO EarningsPerShareBasic (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO EarningsPerShareDiluted (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
SEC EDGAR companyfacts API,AVGO NetCashProvidedByUsedInOperatingActivities (10-K),2025-12-18,2025-11-02,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/AVGO_facts_selected.json
