source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,NXPI Assets (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI AssetsCurrent (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI Liabilities (10-Q),2026-04-28,2026-03-29,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI LiabilitiesCurrent (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI StockholdersEquity (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI LongTermDebt (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
SEC EDGAR companyfacts API,NXPI LongTermDebtNoncurrent (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/NXPI_facts_selected.json
