source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,PAYX Assets (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX AssetsCurrent (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX Liabilities (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX LiabilitiesCurrent (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX StockholdersEquity (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX CashAndCashEquivalentsAtCarryingValue (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX LongTermDebt (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX LongTermDebtNoncurrent (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX LongTermDebtCurrent (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX ShortTermBorrowings (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX Revenues (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
SEC EDGAR companyfacts API,PAYX RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-07-17,2026-05-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PAYX_facts_selected.json
