source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,FAST Assets (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST AssetsCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST LiabilitiesCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST StockholdersEquity (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST LongTermDebt (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST LongTermDebtNoncurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST LongTermDebtCurrent (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST NetIncomeLoss (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST OperatingIncomeLoss (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST GrossProfit (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST InterestExpense (10-K),2024-02-06,2023-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST IncomeTaxExpenseBenefit (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST EarningsPerShareBasic (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
SEC EDGAR companyfacts API,FAST EarningsPerShareDiluted (10-K),2026-02-05,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/FAST_facts_selected.json
