source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,MAR Assets (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR AssetsCurrent (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR LiabilitiesCurrent (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR StockholdersEquity (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2023-02-14,2022-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR LongTermDebt (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR LongTermDebtNoncurrent (10-K),2012-02-16,2011-12-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR LongTermDebtCurrent (10-K),2012-02-16,2011-12-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR Revenues (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR NetIncomeLoss (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR OperatingIncomeLoss (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR InterestExpense (10-K),2024-02-13,2023-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR IncomeTaxExpenseBenefit (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR EarningsPerShareBasic (10-K),2026-02-10,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR EarningsPerShareDiluted (10-K),2026-02-10,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR NetCashProvidedByUsedInOperatingActivities (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR NetCashProvidedByUsedInInvestingActivities (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR NetCashProvidedByUsedInFinancingActivities (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR DepreciationDepletionAndAmortization (10-K),2014-02-20,2013-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR PaymentsToAcquirePropertyPlantAndEquipment (10-K),2025-02-11,2024-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR CommonStockSharesOutstanding (10-K),2026-02-10,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-02-10,2025-12-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
SEC EDGAR companyfacts API,MAR GeneralAndAdministrativeExpense (10-K),2026-02-10,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MAR_facts_selected.json
