source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,PATH Assets (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH AssetsCurrent (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH Liabilities (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH LiabilitiesCurrent (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH StockholdersEquity (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH CashAndCashEquivalentsAtCarryingValue (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH NetIncomeLoss (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH OperatingIncomeLoss (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH GrossProfit (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH IncomeTaxExpenseBenefit (10-K),2026-03-25,2026-01-31,2026-08-17,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
SEC EDGAR companyfacts API,PATH EarningsPerShareBasic (10-K),2026-03-25,2026-01-31,2026-08-17,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/PATH_facts_selected.json
