source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,INTU Assets (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU AssetsCurrent (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU Liabilities (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU LiabilitiesCurrent (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU StockholdersEquity (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU CashAndCashEquivalentsAtCarryingValue (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU LongTermDebt (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU LongTermDebtNoncurrent (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU LongTermDebtCurrent (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU DebtCurrent (10-K),2021-09-08,2021-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU ShortTermBorrowings (10-Q),2016-02-25,2016-01-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU Revenues (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU NetIncomeLoss (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU OperatingIncomeLoss (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU InterestExpenseDebt (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU IncomeTaxExpenseBenefit (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU EarningsPerShareBasic (10-K),2025-09-03,2025-07-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU EarningsPerShareDiluted (10-K),2025-09-03,2025-07-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU NetCashProvidedByUsedInOperatingActivities (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU NetCashProvidedByUsedInInvestingActivities (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU NetCashProvidedByUsedInFinancingActivities (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU PaymentsToAcquirePropertyPlantAndEquipment (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU CommonStockSharesOutstanding (10-K),2025-09-03,2025-07-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU WeightedAverageNumberOfSharesOutstandingBasic (10-K),2025-09-03,2025-07-31,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU ResearchAndDevelopmentExpense (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
SEC EDGAR companyfacts API,INTU SellingAndMarketingExpense (10-K),2025-09-03,2025-07-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/INTU_facts_selected.json
