source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,KLAC Assets (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC AssetsCurrent (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC Liabilities (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC LiabilitiesCurrent (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC StockholdersEquity (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC CashAndCashEquivalentsAtCarryingValue (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC LongTermDebt (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC LongTermDebtNoncurrent (10-K),2020-08-10,2020-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC LongTermDebtCurrent (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC ShortTermBorrowings (10-K),2022-08-05,2022-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC Revenues (10-Q),2011-01-28,2010-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC NetIncomeLoss (10-K),2025-08-08,2025-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
SEC EDGAR companyfacts API,KLAC OperatingIncomeLoss (10-K),2014-08-08,2014-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/KLAC_facts_selected.json
