source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CRWV Assets (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV AssetsCurrent (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV Liabilities (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV LiabilitiesCurrent (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV StockholdersEquity (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV CashAndCashEquivalentsAtCarryingValue (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV LongTermDebt (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV LongTermDebtNoncurrent (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV LongTermDebtCurrent (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV NetIncomeLoss (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV OperatingIncomeLoss (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV InterestExpenseDebt (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV IncomeTaxExpenseBenefit (10-K),2026-03-02,2025-12-31,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV EarningsPerShareBasic (10-K),2026-03-02,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
SEC EDGAR companyfacts API,CRWV EarningsPerShareDiluted (10-K),2026-03-02,2025-12-31,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWV_facts_selected.json
