source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,WDC Assets (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC AssetsCurrent (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC Liabilities (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC LiabilitiesCurrent (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC StockholdersEquity (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC CashAndCashEquivalentsAtCarryingValue (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC LongTermDebt (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC LongTermDebtNoncurrent (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC LongTermDebtCurrent (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC ShortTermBorrowings (10-K),2015-08-21,2015-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC NetIncomeLoss (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC OperatingIncomeLoss (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC GrossProfit (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC InterestExpense (10-K),2024-08-20,2023-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC IncomeTaxExpenseBenefit (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC EarningsPerShareBasic (10-K),2025-08-14,2025-06-27,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC EarningsPerShareDiluted (10-K),2025-08-14,2025-06-27,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC NetCashProvidedByUsedInOperatingActivities (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC NetCashProvidedByUsedInInvestingActivities (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC NetCashProvidedByUsedInFinancingActivities (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC DepreciationDepletionAndAmortization (10-Q),2026-05-01,2026-04-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC PaymentsToAcquirePropertyPlantAndEquipment (10-K),2025-08-14,2025-06-27,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC CommonStockSharesOutstanding (10-K),2025-08-14,2025-06-27,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC CommonStockSharesIssued (10-K),2025-08-14,2025-06-27,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
SEC EDGAR companyfacts API,WDC WeightedAverageNumberOfSharesOutstandingBasic (10-K),2025-08-14,2025-06-27,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/WDC_facts_selected.json
