source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,STX Assets (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX AssetsCurrent (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX Liabilities (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX LiabilitiesCurrent (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX StockholdersEquity (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2016-08-05,2016-07-01,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX CashAndCashEquivalentsAtCarryingValue (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX LongTermDebt (10-K),2023-08-04,2022-07-01,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX LongTermDebtNoncurrent (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX LongTermDebtCurrent (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX Revenues (10-K),2023-08-04,2023-06-30,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX NetIncomeLoss (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX OperatingIncomeLoss (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX InterestExpense (10-K),2024-08-02,2024-06-28,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX IncomeTaxExpenseBenefit (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX EarningsPerShareBasic (10-K),2026-08-04,2026-07-03,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX EarningsPerShareDiluted (10-K),2026-08-04,2026-07-03,2026-08-06,USD/shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX NetCashProvidedByUsedInOperatingActivities (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX NetCashProvidedByUsedInInvestingActivities (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX NetCashProvidedByUsedInFinancingActivities (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX DepreciationDepletionAndAmortization (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX PaymentsToAcquirePropertyPlantAndEquipment (10-K),2026-08-04,2026-07-03,2026-08-06,USD,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX CommonStockSharesOutstanding (10-K),2026-08-04,2026-07-03,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX CommonStockSharesIssued (10-K),2023-08-04,2023-06-30,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
SEC EDGAR companyfacts API,STX WeightedAverageNumberOfSharesOutstandingBasic (10-K),2026-08-04,2026-07-03,2026-08-06,shares,latest fact by end date in the filer's reported unit (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/STX_facts_selected.json
