source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CDNS Assets (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS AssetsCurrent (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS LiabilitiesCurrent (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS StockholdersEquity (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS CashAndCashEquivalentsAtCarryingValue (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS LongTermDebtCurrent (10-Q),2018-07-23,2018-06-30,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS NetIncomeLoss (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
SEC EDGAR companyfacts API,CDNS OperatingIncomeLoss (10-K),2026-02-19,2025-12-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CDNS_facts_selected.json
