source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,MCHP Assets (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP AssetsCurrent (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP LiabilitiesCurrent (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP StockholdersEquity (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2019-05-30,2019-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP CashAndCashEquivalentsAtCarryingValue (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP LongTermDebt (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP LongTermDebtNoncurrent (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP LongTermDebtCurrent (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP ShortTermBorrowings (10-K),2015-05-27,2015-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP Revenues (10-K),2019-05-30,2019-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP RevenueFromContractWithCustomerExcludingAssessedTax (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP NetIncomeLoss (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP OperatingIncomeLoss (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP GrossProfit (10-K),2026-05-21,2026-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
SEC EDGAR companyfacts API,MCHP InterestExpense (10-K),2024-05-23,2024-03-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/MCHP_facts_selected.json
