source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,CRWD Assets (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD AssetsCurrent (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD Liabilities (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD LiabilitiesCurrent (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD StockholdersEquity (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD CashAndCashEquivalentsAtCarryingValue (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD LongTermDebtNoncurrent (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
SEC EDGAR companyfacts API,CRWD NetIncomeLoss (10-K),2026-03-05,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/CRWD_facts_selected.json
