source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
SEC EDGAR companyfacts API,ROST Assets (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST AssetsCurrent (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST LiabilitiesCurrent (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST StockholdersEquity (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST CashAndCashEquivalentsAtCarryingValue (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST LongTermDebt (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST LongTermDebtNoncurrent (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST LongTermDebtCurrent (10-K),2026-03-31,2026-01-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
SEC EDGAR companyfacts API,ROST ShortTermBorrowings (10-Q),2021-09-08,2021-07-31,2026-08-06,USD,latest USD (or USD/shares) fact by end date (prefer 10-K/20-F),"Assumptions / historicals (IB, Corporate, PE, Credit, Equity, AM)",Public SEC data; see SEC terms of use and fair-access policy,tools/data_fabric/out/ROST_facts_selected.json
